"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4714","0","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial_VT.BaseFlattenMaterial_VT","0","0","72","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","72","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","6","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","6","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","64","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","90","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","0","591","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","0","79","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","154","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","0","6","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","0","10","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","68","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","109","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","68","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","68","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","37","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","10","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","72","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","23","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","54","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","105","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","121","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","919","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","32","1","0.000000","0","0"
"/VRM4U/MaterialUtil/MToonUtil/M_VrmMToonBaseOpaque.M_VrmMToonBaseOpaque","0","1620","113","20","2046.101929","1620","22162"
"/VRM4U/MaterialUtil/M_VrmPhysical.M_VrmPhysical","0","567","51","6","408.307709","102","4700"
"/VRM4U/MaterialUtil/M_VrmUnlitTexture.M_VrmUnlitTexture","0","87","8","2","36.856731","0","391"
"/VRM4U/MaterialUtil/M_VrmDummyDepth.M_VrmDummyDepth","0","114","21","2","46.565720","0","580"
"","0","1","0","1","0.000000","15","0"
"/VRM4U/Util/Actor/PostShadow/M_BaseLight.M_BaseLight","0","210","13","2","399.043793","210","3231"
"/VRM4U/Util/Actor/PostShadow/M_PostToon.M_PostToon","0","72","14","2","121.046021","72","522"
"/VRM4U/Util/Actor/Misc/sub/M_TranslucentEdge.M_TranslucentEdge","0","20","20","2","5.732805","0","20"
"/Game/My_Content/InsaneAirCombo/Materials/M_UE4Man_Body.M_UE4Man_Body","0","150","21","2","84.885223","0","854"
"/VRM4U/Util/Actor/PostShadow/old/sub/M_PostShadowBase.M_PostShadowBase","0","72","12","2","122.566193","72","528"
"/Game/My_Content/InsaneAirCombo/Materials/M_weapon.M_weapon","0","52","10","1","69.088699","0","232"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","105","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","132","2","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","38","1","0.000000","0","0"
"/VRM4U/MaterialUtil/MToonUtil/M_VrmDebugShadowmap.M_VrmDebugShadowmap","0","6","6","1","3.782025","0","6"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/VRM4U/MaterialUtil/MToonUtil/M_VrmNone.M_VrmNone","0","57","8","1","29.081015","0","256"
"/VRM4U/MaterialUtil/M_VrmDummyShadow.M_VrmDummyShadow","0","102","10","1","66.455414","0","760"
"/VRM4U/Util/Actor/Misc/sub/M_Point.M_Point","0","38","10","1","60.748531","0","148"
"/VRM4U/Util/BaseCharacter/Misc/M_RigLocator.M_RigLocator","0","12","12","1","6.367162","0","18"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","0","0","38","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","6","1","0.000000","0","0"
"/VRM4U/Util/Actor/Post/sub/M_PostBloom.M_PostBloom","0","6","6","1","3.990235","0","8"
"/VRM4U/Util/Actor/latest/FX/M_Quad.M_Quad","0","50","10","1","35.378052","0","216"
"/VRM4U/Util/Actor/latest/FX/M_ParticleMaterial.M_ParticleMaterial","0","60","30","1","35.890690","0","244"
"/VRM4U/Util/Actor/latest/FKRig/M_RigMaterial.M_RigMaterial","0","12","12","1","5.722560","0","16"
"/VRM4U/Util/Actor/Misc/sub/M_WindowTransparent.M_WindowTransparent","0","6","6","1","2.383715","0","6"
"/VRM4U/MaterialUtil/M_VrmLightDebug.M_VrmLightDebug","0","23","3","1","21.927164","0","59"
"/VRM4U/MaterialUtil/M_ContactShadow.M_ContactShadow","0","33","6","1","21.914867","0","108"
"/VRM4U/MaterialUtil/M_VrmDebugContactShadowmap.M_VrmDebugContactShadowmap","0","6","6","1","4.220751","0","10"
"/VRM4U/MaterialUtil/MToonUtil/SimpleColor/M_emissivedefault.M_emissivedefault","0","19","4","1","8.552397","0","54"
"/VRM4U/MaterialUtil/MToonUtil/SimpleColor/M_VRM4U_Simple.M_VRM4U_Simple","0","19","10","1","8.636333","0","53"
"/VRM4U/Util/Actor/Misc/sub/M_FOVCharacterMisc.M_FOVCharacterMisc","0","41","4","1","71.441933","41","303"
